"","dates","JULDAY","TIME","D0cm","D1cm","D3cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"157681",2009-01-01 00:00:00,1,0,13.4481611251831,16.6787147521973,19.0601005554199,20.5658206939697,22.4180774688721,23.2873191833496,22.4182624816895,21.0348281860352,19.4068641662598,16.5247592926025
"157682",2009-01-01 01:00:00,1,60,13.3563623428345,16.4144325256348,18.6561813354492,20.1192035675049,21.9839611053467,22.9436988830566,22.4143600463867,21.0358657836914,19.4090213775635,16.5247592926025
"157683",2009-01-01 02:00:00,1,120,13.2278738021851,16.2878112792969,18.3240051269531,19.7496204376221,21.5970935821533,22.6150684356689,22.3964653015137,21.0367374420166,19.4111709594727,16.5247592926025
"157684",2009-01-01 03:00:00,1,180,13.1667079925537,16.1976089477539,18.0345497131348,19.438497543335,21.2520599365234,22.3058490753174,22.3663063049316,21.0372505187988,19.4133052825928,16.5247592926025
"157685",2009-01-01 04:00:00,1,240,13.2039127349854,16.0944004058838,17.8043384552002,19.170280456543,20.9429912567139,22.0177154541016,22.3256034851074,21.0372505187988,19.4154224395752,16.5247592926025
"157686",2009-01-01 05:00:00,1,300,13.5223093032837,16.0940856933594,17.6581039428711,18.943660736084,20.6665725708008,21.750804901123,22.275972366333,21.0366020202637,19.4175224304199,16.5247592926025
"157687",2009-01-01 06:00:00,1,360,17.7246112823486,17.5122299194336,18.1119976043701,18.8972759246826,20.4397773742676,21.5060844421387,22.2189235687256,21.0352001190186,19.4196014404297,16.5247592926025
"157688",2009-01-01 07:00:00,1,420,23.1990947723389,20.4751319885254,19.5329666137695,19.4480209350586,20.379638671875,21.3002395629883,22.1561241149902,21.0329742431641,19.4216499328613,16.5247592926025
"157689",2009-01-01 08:00:00,1,480,28.8773880004883,24.0274524688721,21.6039791107178,20.5780086517334,20.5900650024414,21.1746940612793,22.090389251709,21.0298748016357,19.4236679077148,16.5247592926025
"157690",2009-01-01 09:00:00,1,540,33.9498252868652,27.6238498687744,23.9545059204102,22.1006088256836,21.0797653198242,21.1703052520752,22.0261249542236,21.0259170532227,19.4256496429443,16.5247592926025
"157691",2009-01-01 10:00:00,1,600,37.9903144836426,30.6505603790283,26.2976245880127,23.7946586608887,21.7981948852539,21.3096218109131,21.968786239624,21.0211811065674,19.4275894165039,16.5247592926025
"157692",2009-01-01 11:00:00,1,660,40.2019538879395,32.9841041564941,28.2792644500732,25.4346580505371,22.6568183898926,21.5919494628906,21.9239463806152,21.015832901001,19.4294853210449,16.5247592926025
"157693",2009-01-01 12:00:00,1,720,40.5266380310059,34.0926933288574,29.6746940612793,26.8025798797607,23.5484676361084,21.9934959411621,21.896354675293,21.0101127624512,19.4313335418701,16.5247592926025
"157694",2009-01-01 13:00:00,1,780,40.6238670349121,34.7651329040527,30.5712661743164,27.8028240203857,24.365930557251,22.4711208343506,21.8890953063965,21.0043067932129,19.4331340789795,16.5247592926025
"157695",2009-01-01 14:00:00,1,840,39.6052284240723,34.7081298828125,31.0733299255371,28.5158214569092,25.074089050293,22.9779720306396,21.9031410217285,20.9987316131592,19.4348850250244,16.5247592926025
"157696",2009-01-01 15:00:00,1,900,36.9272613525391,33.7148590087891,30.9708557128906,28.8526859283447,25.6370849609375,23.4752979278564,21.9376277923584,20.9936809539795,19.4365921020508,16.5247592926025
"157697",2009-01-01 16:00:00,1,960,32.8778419494629,31.5978469848633,30.1889915466309,28.7188320159912,25.9969043731689,23.9240627288818,21.9901218414307,20.989429473877,19.4382572174072,16.5247592926025
"157698",2009-01-01 17:00:00,1,1020,27.5076751708984,28.7605972290039,28.7102565765381,28.0816307067871,26.1009769439697,24.2835235595703,22.0565814971924,20.9861907958984,19.4398880004883,16.5247592926025
