"","dates","JULDAY","TIME","D0cm","D1cm","D3cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"157681",2009-01-01 00:00:00,1,0,12.8036794662476,17.5766220092773,21.1468696594238,23.5957050323486,26.3780384063721,27.6785449981689,26.3584728240967,24.0525436401367,21.521915435791,16.5247592926025
"157682",2009-01-01 01:00:00,1,60,12.625316619873,17.2166519165039,20.5595607757568,22.9364700317383,25.7276210784912,27.1520709991455,26.3473949432373,24.0566921234131,21.524341583252,16.5247592926025
"157683",2009-01-01 02:00:00,1,120,12.7245082855225,16.8560180664062,20.0997581481934,22.3770427703857,25.1477108001709,26.652868270874,26.3147087097168,24.060417175293,21.5267696380615,16.5247592926025
"157684",2009-01-01 03:00:00,1,180,12.5363416671753,16.5866279602051,19.6783962249756,21.8935146331787,24.6274394989014,26.1853408813477,26.2633438110352,24.0634212493896,21.5292091369629,16.5247592926025
"157685",2009-01-01 04:00:00,1,240,12.5344457626343,16.3450946807861,19.3114414215088,21.4595127105713,24.1556739807129,25.7499980926514,26.1960887908936,24.0654582977295,21.5316333770752,16.5247592926025
"157686",2009-01-01 05:00:00,1,300,13.2279825210571,16.4134635925293,19.0935039520264,21.0996417999268,23.7290134429932,25.3454513549805,26.1154670715332,24.0663318634033,21.5340442657471,16.5247592926025
"157687",2009-01-01 06:00:00,1,360,20.348165512085,19.1439418792725,19.9261341094971,21.07688331604,23.3848514556885,24.9738483428955,26.0237655639648,24.0658893585205,21.536434173584,16.5247592926025
"157688",2009-01-01 07:00:00,1,420,29.1314907073975,24.3869972229004,22.4326229095459,22.0638904571533,23.3254318237305,24.6655731201172,25.9236507415771,24.0640125274658,21.5387992858887,16.5247592926025
"157689",2009-01-01 08:00:00,1,480,38.2795867919922,30.1815204620361,25.9868717193604,23.9859294891357,23.7190723419189,24.4919090270996,25.8198261260986,24.0606575012207,21.5411262512207,16.5247592926025
"157690",2009-01-01 09:00:00,1,540,46.0076789855957,35.8152847290039,29.8472347259521,26.4898586273193,24.5668659210205,24.5206832885742,25.7197322845459,24.0558567047119,21.5434112548828,16.5247592926025
"157691",2009-01-01 10:00:00,1,600,51.8276481628418,40.3865242004395,33.5299224853516,29.1933059692383,25.7706451416016,24.7865009307861,25.6324939727783,24.0497760772705,21.5456447601318,16.5247592926025
"157692",2009-01-01 11:00:00,1,660,54.7321929931641,43.6780624389648,36.5044860839844,31.7208518981934,27.1729774475098,25.2835655212402,25.567325592041,24.0427207946777,21.5478191375732,16.5247592926025
"157693",2009-01-01 12:00:00,1,720,54.5767135620117,45.0682716369629,38.4382095336914,33.743049621582,28.589506149292,25.9663162231445,25.5319023132324,24.0351104736328,21.5499305725098,16.5247592926025
"157694",2009-01-01 13:00:00,1,780,54.5258903503418,45.7100830078125,39.5829277038574,35.1393089294434,29.8458728790283,26.7566509246826,25.5308837890625,24.0274562835693,21.55198097229,16.5247592926025
"157695",2009-01-01 14:00:00,1,840,52.518741607666,45.4022407531738,40.109073638916,36.083553314209,30.8989028930664,27.5734767913818,25.5651760101318,24.0202884674072,21.5539703369141,16.5247592926025
"157696",2009-01-01 15:00:00,1,900,48.6580390930176,43.5710754394531,39.765438079834,36.4530334472656,31.7050151824951,28.3537311553955,25.6325569152832,24.0141143798828,21.5559024810791,16.5247592926025
"157697",2009-01-01 16:00:00,1,960,41.599048614502,40.3652114868164,38.3270416259766,36.1291885375977,32.1819801330566,29.0364780426025,25.7281837463379,24.0093803405762,21.5577831268311,16.5247592926025
"157698",2009-01-01 17:00:00,1,1020,33.6194686889648,35.7701148986816,35.9214859008789,35.0514678955078,32.2586364746094,29.5601348876953,25.8446350097656,24.0064220428467,21.559627532959,16.5247592926025
"157699",2009-01-01 18:00:00,1,1080,24.9234085083008,30.3999481201172,32.7607002258301,33.3226585388184,31.9183540344238,29.8729419708252,25.97216796875,24.0054397583008,21.5614452362061,16.5247592926025
"157700",2009-01-01 19:00:00,1,1140,17.0294418334961,25.1099967956543,29.218074798584,31.1254177093506,31.1998424530029,29.9461536407471,26.0996913909912,24.0064678192139,21.5632457733154,16.5247592926025
"157701",2009-01-01 20:00:00,1,1200,13.910117149353,21.3477821350098,26.1394634246826,28.8236141204834,30.2068271636963,29.7806549072266,26.2161483764648,24.0093688964844,21.5650463104248,16.5247592926025
"157702",2009-01-01 21:00:00,1,1260,12.0444364547729,19.0795669555664,23.9175872802734,26.8874816894531,29.1288509368896,29.4164218902588,26.3122100830078,24.0138492584229,21.5668468475342,16.5247592926025
"157703",2009-01-01 22:00:00,1,1320,10.6794929504395,17.4582691192627,22.2261180877686,25.3201103210449,28.0939674377441,28.9214057922363,26.3819351196289,24.0195064544678,21.5686664581299,16.5247592926025
"157704",2009-01-01 23:00:00,1,1380,9.49284839630127,16.2682838439941,20.865119934082,24.024938583374,27.1351451873779,28.3559951782227,26.4229125976562,24.0258769989014,21.5705051422119,16.5247592926025
"157705",2009-01-02 00:00:00,2,0,8.99097919464111,15.2022266387939,19.7786884307861,22.9276180267334,26.2537956237793,27.7615394592285,26.4352436065674,24.0325050354004,21.5723648071289,16.4970874786377
"157706",2009-01-02 01:00:00,2,60,8.44007778167725,14.5078887939453,18.8580551147461,21.9921131134033,25.4449825286865,27.1638565063477,26.4205093383789,24.038948059082,21.574182510376,16.4970874786377
"157707",2009-01-02 02:00:00,2,120,8.25206279754639,13.8714752197266,18.1297149658203,21.1919174194336,24.7064189910889,26.5788974761963,26.3810558319092,24.0448169708252,21.5760154724121,16.4970874786377
